timestamp_utc,vehicle_number,outcome,detail
2026-09-25T07:46:23+00:00,TN 07 DF 7905,closed,
2026-09-25T08:41:25+00:00,TN 07 DE 0894,closed,
2026-09-25T08:46:29+00:00,KA 51 AK 5001,closed,
2026-09-25T08:51:39+00:00,KA 05 AP 5606,closed,
2026-09-25T10:01:52+00:00,TS08UL7428,failed,No open/in-progress/on-hold record found for TS08UL7428.
2026-09-25T10:06:36+00:00,TS08UL7428,failed,No open/in-progress/on-hold record found for TS08UL7428.
2026-09-25T10:11:31+00:00,TN 14 AL 3664,closed,
2026-09-25T10:11:41+00:00,TS08UL7428,failed,No open/in-progress/on-hold record found for TS08UL7428.
2026-09-25T10:16:12+00:00,TS08UL7428,failed,No open/in-progress/on-hold record found for TS08UL7428.
2026-09-25T10:21:24+00:00,TS08UL7428,failed,No open/in-progress/on-hold record found for TS08UL7428.
2026-09-25T10:31:50+00:00,KA 05 AP 5620,closed,
2026-09-25T10:51:28+00:00,KA 05 AQ 5161,closed,
